m , ef_construction, ef_search, recall            , latency_ms          , build_time_s      , memory_bytes, experiment
 8,             200,       100, 0.9947000000000018, 0.05074970050009142 , 1.4035095209997053,     10751424, effect_of_m
16,             200,       100, 0.9996500000000001, 0.03419657500012363 , 1.3158515579998493,     11892212, effect_of_m
24,             200,       100, 0.9998500000000001, 0.030040873499956433, 1.078575815000022 ,     13043996, effect_of_m
32,             200,       100, 0.9998500000000001, 0.031605172500121625, 1.0815952410002865,     14194200, effect_of_m
48,             200,       100, 0.9999000000000001, 0.036945677499943486, 1.187858537000011 ,     16501356, effect_of_m
64,             200,       100, 0.9999000000000001, 0.037291006500026924, 1.2055550489999405,     18798356, effect_of_m
16,              50,       100, 0.996850000000001 , 0.02874724549997154 , 0.4537155980001444,     11892212, effect_of_ef_construction
16,             100,       100, 0.9995500000000003, 0.027231178999954864, 0.5798293300003934,     11892212, effect_of_ef_construction
16,             200,       100, 0.9996500000000001, 0.029469217500036393, 1.048555714000031 ,     11892212, effect_of_ef_construction
16,             300,       100, 0.9997500000000002, 0.02899055100010628 , 1.7444304269997701,     11892212, effect_of_ef_construction
16,             400,       100, 0.9997000000000003, 0.029297752500042407, 2.311252058000264 ,     11892212, effect_of_ef_construction
16,             500,       100, 0.9997000000000003, 0.04490288450006119 , 2.803836670000237 ,     11892212, effect_of_ef_construction
16,             200,        10, 0.7999000000000015, 0.008671592999917266, 1.3075224929998512,     11892212, effect_of_ef_search
16,             200,        30, 0.9727000000000064, 0.024739675499859004, 1.034469842999897 ,     11892212, effect_of_ef_search
16,             200,        50, 0.9947500000000016, 0.060202898000170535, 1.3780698400000801,     11892280, effect_of_ef_search
16,             200,       100, 0.9996500000000001, 0.02741028650007138 , 1.3124540809999417,     11892212, effect_of_ef_search
16,             200,       150, 0.9999000000000001, 0.03415517900020859 , 1.2333504399998674,     11892212, effect_of_ef_search
16,             200,       200, 0.99995           , 0.039902581499973167, 1.0308651099999224,     11892212, effect_of_ef_search
16,             200,       300, 1.0               , 0.05000176849989657 , 1.090460794000137 ,     11892212, effect_of_ef_search
