m,ef_construction,ef_search,recall,latency_ms,build_time_s,memory_bytes,configuration
16,200,100,0.9996500000000001,0.028279324000095585,1.0685163990001456,11892212,default
56,143,153,1.0,0.0380335570000625,1.3385662530004083,17649720,learned
