m,ef_construction,ef_search,recall,latency_ms,build_time_s,memory_bytes,score
47,59,292,1.0,0.14222896425053477,0.31715741695370525,16345440,0.9998577710357495
30,181,188,0.99995,0.12129207607358694,0.6965749999508262,13899364,0.9998287079239264
15,187,162,0.9999000000000001,0.09214598685503006,0.6168210409814492,11746336,0.9998078540131451
26,478,223,0.99995,0.17808296252042055,1.6682859170250595,13324236,0.9997719170374796
31,404,68,0.9993500000000002,0.09918748401105404,1.7412339160218835,14043104,0.9992508125159891
54,145,62,0.9993000000000002,0.07204199209809303,0.5351723340572789,17352256,0.9992279580079021
12,181,116,0.9992500000000003,0.0788120087236166,0.5603544589830562,11316024,0.9991711879912767
7,440,184,0.9991000000000004,0.10729202767834067,1.3857103328919038,10605344,0.9989927079723221
40,120,55,0.9987000000000004,0.08943799184635282,0.7155821670312434,15337568,0.998610562008154
35,317,23,0.9697000000000064,0.05310447886586189,1.1036868329392746,14619840,0.9696468955211406
